budget,popularity,revenue,runtime,vote_average
0,40.961,0,90,4.9
45000000,53.798,42500000,94,6.8
25000000,74.139,424967620,84,7.732
0,60.382,0,113,6.878
6600000,66.44,5115725,108,6.429
0,58.921,0,94,6.0
41677699,64.343,202404009,100,7.735
120000000,56.09,221600160,109,6.106
0,56.646,0,97,6.604
40000000,64.072,127994610,117,6.855
225000000,74.262,668045518,143,6.605
290000000,53.13,0,156,0.0
68000000,61.158,170823080,130,6.917
178000000,60.553,791657398,147,7.401
0,66.839,0,130,7.395
48000000,61.004,325771424,109,6.229
0,58.609,0,46,7.482
200000000,63.341,791217826,158,5.811
5000000,48.391,2543216,96,6.577
0,57.83,0,74,7.172
0,56.511,23500000,55,7.432
10000000,54.524,30833138,99,6.691
0,66.81,0,113,7.0
0,63.204,0,93,0.0
18000000,59.452,76994245,103,7.074
180000000,61.27,521311860,98,8.076
35000000,61.755,701842551,135,7.236
0,53.267,60692022,107,7.994
0,52.688,0,104,4.571
28000000,58.507,504050219,95,7.644
0,57.597,4934725,124,6.768
130000000,61.341,519311965,117,7.081
0,57.964,0,93,4.656
0,55.958,0,96,6.966
200000000,61.247,1025467110,108,6.62
2500000,59.922,0,115,7.962
0,58.604,29303571,106,6.408
60000000,61.105,42145959,104,6.651
12000000,58.028,102731865,88,6.817
0,51.94,0,115,6.373
17000000,67.139,61779301,92,8.047
30000000,58.238,29116320,107,6.788
0,61.913,0,95,6.639
70000000,61.08,481840909,169,8.209
85000000,63.729,252712101,93,7.507
230000000,63.665,795922298,128,6.645
0,54.877,0,132,7.971
183000000,57.462,1054304000,127,7.117
80000000,76.982,586764305,102,6.462
8000000,46.71,9630444,106,6.372
70000000,62.445,321457747,153,8.214
24457676,62.052,0,143,7.2
0,64.94,0,72,6.7
150000000,72.596,259239658,164,7.534
0,47.384,0,86,4.75
0,50.735,0,45,6.535
15000000,61.582,98267558,107,7.49
13000000,53.383,426588510,113,8.275
75000000,56.385,634151679,108,7.112
0,67.28,1156000,95,6.8
81000000,64.221,414351546,129,7.637
300000000,64.717,657926987,120,6.104
0,53.098,0,80,7.389
9100000,64.569,6459306,136,6.177
68000000,63.636,698491347,124,6.222
11000000,58.861,104931801,117,8.142
8500000,60.966,87547518,118,7.757
0,39.084,0,0,6.083
130000000,53.697,554987477,90,6.524
0,41.662,27900000,107,6.304
0,48.556,0,0,0.0
160000000,66.48,1266115964,129,6.964
6500000,60.659,176048,97,6.267
0,50.4,138450,89,6.048
4000000,58.462,205843612,78,7.277
12000000,61.152,441405644,122,7.719
130178,52.789,5303,90,5.618
0,54.995,0,101,7.124
0,59.176,18632208,129,7.182
0,47.065,0,76,10.0
0,61.378,0,116,6.591
53000000,60.164,127944208,109,7.343
0,56.852,0,101,6.293
0,48.212,0,83,5.953
30000000,51.248,17635215,88,7.329
1000000,54.701,117250402,119,7.787
24000000,51.583,172363301,120,6.462
0,50.883,940944,77,4.864
0,56.82,0,92,5.995
185000000,55.276,538983207,93,7.009
170000000,64.977,1310466296,129,6.55
0,50.306,0,109,6.3
0,87.746,0,96,7.681
0,52.695,0,0,0.0
80000000,53.596,122563539,83,7.694
165000000,52.729,471222889,101,7.324
62000000,61.069,1071255,137,7.1
152000000,60.025,1131416446,124,6.859
0,51.566,0,145,7.862
75000000,55.47,205372791,109,6.971
150000000,53.108,331957105,103,6.0
58800000,57.556,542307423,133,7.432
0,87.062,0,119,5.969
20000000,60.772,92924405,132,7.497
72000000,52.63,0,130,6.957
0,42.271,0,91,6.117
170000000,63.252,710644566,130,7.306
0,41.351,125000,109,6.591
3300000,63.346,13092000,107,8.378
35000000,49.449,86669039,123,6.846
23000000,53.272,319700000,130,8.24
48000000,49.401,220673217,84,5.979
104000000,61.586,410902662,141,6.977
230758,50.871,0,38,6.117
0,53.947,0,86,5.4
80000000,54.566,660998756,91,6.681
250000000,63.849,1021103568,169,7.335
0,52.293,0,97,6.8
0,52.323,0,95,6.55
0,48.163,0,24,6.3
0,55.614,0,97,7.063
40000000,48.87,51783040,136,6.756
149000000,61.675,822854286,141,7.239
250000000,51.516,958400000,161,7.572
0,43.174,0,119,6.1
0,42.359,0,82,7.1
0,50.295,0,116,6.9
